"pool_div","pool_id","par_set_id","1","2","3","4"
3,1,3,0,0,-6.25069207270002,0
3,1,3,0,0,1.43614183930755,0
3,1,6,0,-0.790981729396354,-6.90212944239842,0
3,1,6,0,-1.89284914632161,-0.532220279748184,0
3,2,8,1.80714493473707,0,0,0
3,2,8,-6.91847310173133,0,0,0
3,2,12,3.12678933506863,0,-0.606361032686691,0
3,2,12,-2.60040590574358,0,-1.20325607497424,0
4,3,19,1.51859606135951,2.58487028456379,0,0
4,3,19,-1.75705610278175,-1.24911310264643,0,0
4,3,20,3.50945867240461,0,1.78180254127353,0
4,3,20,-2.54437558315661,0,-1.13621986973889,0
4,3,21,-4.36719782551779,0,0,-2.00942364199176
4,3,21,7.70952323699767,0,0,5.13325101945949
4,3,22,0,-3.76297810775453,-1.3032275827167,0
4,3,22,0,4.25877852704968,0.320881930534851,0
4,3,23,0,-5.78060678744497,0,1.81226521486998
4,3,23,0,3.01234727630043,0,-3.23446625957923
4,3,24,0,0,1.58844748884595,2.56182779627561
4,3,24,0,0,-3.13752238167121,-1.83809190886228
4,3,25,3.51613990643614,-0.539984434214328,2.11368351039965,0
4,3,25,-2.3757336267246,-2.06923730091663,0.614945254531502,0
4,3,25,2.11223022454647,3.01365450109906,-0.43103991496892,0
4,3,25,-0.236214566289598,4.40280793874258,0.397294675760754,0
4,3,25,-2.28266647336776,1.23103902144968,-1.99455929218561,0
4,3,25,5.06841655258257,-10.1670914221547,-4.31598356719583,0
4,3,26,-29.5600619399765,-5.78972190324011,0,-10.0377276278293
4,3,26,-6.34305015913075,-0.887933429221191,0,-2.26190954862708
4,3,26,2.77153678326263,2.26075070001367,0,-5.80415932363308
4,3,26,-1.26791629929439,-1.74697625736852,0,1.81942858242576
4,3,27,-4.66802710044433,0,0.346759693056455,-2.45705469881889
4,3,27,12.4907406371467,0,-2.56548872544809,9.61522808390136
4,3,27,1.42406505342787,0,2.30126878077476,1.91048994988741
4,3,27,0.717812050699332,0,-2.96998694996231,-2.21199355970063
4,3,28,0,3.45024334796535,-1.23875442023921,-2.7328519479594
4,3,28,0,-4.29390337182959,-0.460893891439229,1.57704558512499
4,3,28,0,-1.15029312949622,-3.49033777564453,-1.50852788125981
4,3,28,0,2.38845020656067,3.3879767897652,1.6546219864345
4,3,29,-2.63976593716648,1.47176739291212,-1.39911250091829,-0.86705391673127
4,3,29,-1.85987625208602,-1.11466160333047,-1.22293212011563,2.80854347368329
4,3,29,-1.45123584361066,-2.33416882575213,0.728523271826461,1.48704577486144
4,3,29,0.269116407200681,2.15708579845573,3.40181015753051,1.61075740805947
4,3,29,-3.30885414692091,0.509332417154242,-0.594642611416566,-1.3121627926702
4,3,29,-2.3876413954871,5.93346167223339,0.158345803805503,-1.12245137904652
4,4,30,3.10609993301212,0,0,0
4,4,30,-2.70906800142085,0,0,0
4,4,31,0,2.80047572118282,0,0
4,4,31,0,-0.210538191431714,0,0
4,4,32,0,0,3.37166435647338,0
4,4,32,0,0,-10.8873532078357,0
4,4,33,0,0,0,1.46868527413388
4,4,33,0,0,0,-1.27298480290173
4,4,34,3.07183550877968,0.75560596130175,0,0
4,4,34,-2.39049226973508,2.27191122203428,0,0
4,4,35,-1.1215949008165,0,4.15066580692307,0
4,4,35,6.33414538647844,0,4.98796657235822,0
4,4,36,3.4304500561077,0,0,-0.610193564048701
4,4,36,2.78694850305528,0,0,0.659416849595965
4,4,37,0,0.744902781738453,2.46603461580808,0
4,4,37,0,-1.83599035066579,-4.68281869278862,0
4,4,38,0,-0.45265648316924,0,1.29799295256348
4,4,38,0,-0.191777678753489,0,-1.2828154919402
4,4,40,6.35243264301675,0.436078090499741,4.73125604002072,0
4,4,40,1.1964794738997,-2.59685486432785,-5.06640582286146,0
4,4,40,-4.20324892928261,-0.374186951822367,-5.1064842111135,0
4,4,40,-1.76887597288207,1.07156780600256,2.7580365059252,0
4,4,41,3.00673423434502,-0.0436862816330086,0,0.196167983644008
4,4,41,-3.18555137173076,-0.830913106304247,0,0.417632328793727
4,4,43,0,-1.68159615931334,-4.52824004227311,-0.609709890101642
4,4,43,0,12.7575346182681,10.9930355501831,-8.02510656171086
4,4,43,0,-45.8004813253603,-40.4130161130129,28.2992229279654
4,4,43,0,-2.18144294032971,-4.97361785401851,1.28744054217731
4,4,44,0.313829795513695,1.83772449944776,2.98329414955625,-1.57541520981544
4,4,44,0.104624957185476,-2.14930869388274,-4.96596331867416,1.04837312727891
4,4,44,9.2618526117352,2.25043021094522,6.5923262691019,-1.222821513381
4,4,44,-10.2138925410884,-3.18651499768156,-7.93022671708211,2.25717725994125
