"pool_div","pool_id","par_set_id","1","2","3","4","5","6","7","8","9","10"
3,1,1,1.71078458551773,-0.244344167593185,1.94966241140127,0,0,0,0,0,0,0
3,1,1,-0.0474266531468282,-1.3222382035311,-2.06805193142168,0,0,0,0,0,0,0
3,1,1,-0.101683098477345,-0.525100265695737,-1.62097271730406,0,0,0,0,0,0,0
3,1,1,-0.993987001001824,-0.680983989001019,0.437912043358518,0,0,0,0,0,0,0
3,1,1,-0.0269000029946738,0.226597045153863,1.22138125569582,0,0,0,0,0,0,0
3,1,1,-0.407055253281656,-2.24600219169245,-0.856123171380429,0,0,0,0,0,0,0
3,2,2,-5.74649546825677,-4.64941724685205,-0.296032721715941,0,0,0,0,0,0,0
3,2,2,1.46521359530874,-0.182325066531376,0.314969155431032,0,0,0,0,0,0,0
3,2,2,2.19296905281121,0.278558506338164,1.09860069473658,0,0,0,0,0,0,0
3,2,2,2.23724777645146,0.186503873338839,-1.40875475824608,0,0,0,0,0,0,0
3,3,3,0.116827971413413,1.94299866585444,1.57115634658149,0,0,0,0,0,0,0
3,3,3,-0.381326776706851,-0.625071997282171,0.847548357392067,0,0,0,0,0,0,0
3,4,4,-0.161659428182485,0.865474261355433,-1.93998987253289,0,0,0,0,0,0,0
3,4,4,-5.08855558765924,-1.82976816352891,0.539306438143447,0,0,0,0,0,0,0
3,4,4,0.278131857909426,-0.812781847802658,-0.228886962085631,0,0,0,0,0,0,0
3,4,4,-2.56395616961355,1.29697416428404,2.36527365685271,0,0,0,0,0,0,0
3,5,5,-1.46394853503537,-4.722523004582,1.11568593246277,0,0,0,0,0,0,0
3,5,5,1.63843267149773,-0.419639865365557,0.840596417601292,0,0,0,0,0,0,0
3,5,5,2.51199928993041,1.99217250477833,-2.74492529197859,0,0,0,0,0,0,0
3,5,5,-1.06834131277945,0.275871150870206,-2.47875952729471,0,0,0,0,0,0,0
3,6,6,-0.598816350874064,-1.0255956369941,1.09420919996652,0,0,0,0,0,0,0
3,6,6,-2.4011460216894,-0.672989627470018,3.88769038699176,0,0,0,0,0,0,0
3,7,7,-0.451399506286056,-0.52403902657788,0.452801010319003,0,0,0,0,0,0,0
3,7,7,1.72884247379686,1.35235659296046,-1.58834028097317,0,0,0,0,0,0,0
3,7,7,1.45352973591412,0.0954073754866964,0.591702322006392,0,0,0,0,0,0,0
